文件夹,文件名,分词内容
1029,15.txt,向航天员致敬，也向心系航天的樊老致敬！未来，浩瀚太空必将留下更多中国身影！期待，祝福！
1029,15.txt,#中国空间站我们90后也来了#
1029,15.txt,】今天，神舟十九号载人飞行任务航天员乘组出征仪式上，“70后”蔡旭哲说：“中国空间站，我回来了！”
1029,15.txt,“90后”宋令东、王浩泽说：“我们90后也来了！”
1029,15.txt,#祝神十九一切顺利#
1029,15.txt,（来源：中国军号）
1029,15.txt,中国军号的微博视频
1029,15.txt,一切顺利！祝成功凯旋！
1029,15.txt,祝你们成功，等你们凯旋！一切都超级超级顺利！
1029,15.txt,“70后”蔡旭哲：“中国空间站，我回来了！”
1029,15.txt,“90后”宋令东、王浩泽：“我们90后也来了！”
1029,15.txt,看山河看到，
1029,15.txt,载人飞行任务的航天员乘组出征仪式，在酒泉卫星发射中心问天阁圆梦园广场盛大举行，蔡旭哲、宋令东、王浩泽三名航天员，肩负着重任与梦想，领命出征，踏上了探索宇宙的征途！现场观众热情高涨，他们的目光中闪烁着期待与敬仰，欢呼声、掌声此起彼伏，为航天
1029,15.txt,#神十九航天员乘组出征#
1029,15.txt,为中国航天加油！】在酒泉卫星发射中心问天阁圆梦园广场，神十九出征仪式举行。蔡旭哲、宋令东、王浩泽3名航天员领命出征！目前，神十八乘组进驻空间站已满六个月，正在积极准备迎接即将到来的神十九乘组。预祝神舟十九号发射圆满成功！（央视新闻）
1029,15.txt,顺顺利利，平平安安！
1029,15.txt,期待凯旋
1029,15.txt,致敬中国航天🫡
1029,15.txt,祝完滿發射成功！順利完滿完成任務！
1029,14.txt,#被撞身亡机械师仅有20多岁#
1029,14.txt,难怪那天南京南爆了，就是因为这件事吗
1029,14.txt,🐗撞了动车，司机感觉到了让机械师傅下车查看，结果另一辆动车经过把师傅撞死了
1029,14.txt,是我看不懂字了吗，下车查看车况的机械师失联了，车居然直接开走了？好离谱，当你面下去的然后人找不到了，为什么能开走而不是去找找呢
1029,14.txt,太可惜了，为什么动车组之间没有协调好，怎么没有提前注意避让
1029,14.txt,怎么会这样。。。好惨啊啊啊啊啊青春年华无妄之灾啊啊啊啊啊
1029,14.txt,沉痛哀悼
1029,14.txt,年仅20岁
1029,14.txt,还是大学生的年纪就承担起责任负责检查列车
1029,14.txt,是一个非常优秀的人
1029,14.txt,实在惋惜
1029,14.txt,应该是刚工作，经验不足，考虑不全面，倘若车道比较多，为何下车时不多想想会不会有其它车次路过啊
1029,14.txt,天呐才20多岁，而且是机械师啊太可惜了….
1029,14.txt,希望这件事后能引起对安全管理措施的重视，应急情况的处理肯定有纰漏…
1029,14.txt,天啊愿安息…好可惜啊这么年轻
1029,14.txt,[淡淡的]
1029,14.txt,他的人生才刚刚开始
1029,14.txt,他家人肯定很难受吧
1029,14.txt,相关部门急需解决此类问题，才刚毕业的年纪就遭遇这种事太可惜了
1029,14.txt,希望能给他的家人一个合理交代吧
1029,14.txt,很多网友看了通报才知道原来那么多动车晚点两个小时竟是发生了这样的事，
1029,14.txt,！一条鲜活的生命在大家焦急等待发车时慢慢逝去。
